ballCount,runs,wickets
0,0,0
1,1,0
2,2,0
3,6,0
4,6,0
5,10,0
6,14,0
7,14,0
8,14,0
9,15,0
10,16,0
11,16,0
12,17,0
13,21,0
14,24,0
15,24,0
16,30,0
17,30,0
18,31,0
19,31,0
20,32,0
21,33,0
22,33,0
23,34,0
24,35,0
25,36,0
26,40,0
27,46,0
28,47,0
29,51,0
30,53,0
31,53,0
32,55,0
33,57,0
34,61,0
35,62,0
36,63,0
37,63,0
38,67,0
39,68,0
40,68,1
41,72,1
42,72,1
43,72,1
44,72,1
45,72,1
46,73,1
47,74,1
48,75,1
49,76,1
50,76,1
51,77,1
52,77,1
53,78,1
54,78,1
55,79,1
56,80,1
57,82,1
58,82,2
59,83,2
60,85,2
61,85,2
62,86,2
63,87,2
64,88,2
65,88,2
66,88,2
67,89,2
68,90,2
69,90,3
70,91,3
71,93,3
72,94,3
73,95,3
74,99,3
75,99,3
76,100,3
77,101,3
78,102,3
79,103,3
80,103,3
81,109,3
82,110,3
83,111,3
84,117,3
85,118,3
86,118,3
87,124,3
88,128,3
89,133,3
90,134,3
91,138,3
92,139,3
93,139,3
94,140,3
95,142,3
96,143,3
97,145,3
98,149,3
99,150,3
100,156,3
101,160,3
102,161,3
103,162,3
104,164,3
105,168,3
106,169,3
107,170,3
108,171,3
109,178,3
110,179,4
111,179,4
112,179,4
113,180,4
114,184,4
115,185,4
116,186,4
117,192,4
118,193,4
119,194,4
120,196,4
