ballCount,runs,wickets
0,0,0
1,1,0
2,2,0
3,2,0
4,3,0
5,3,0
6,3,0
7,3,0
8,4,0
9,4,0
10,4,1
11,4,1
12,4,1
13,4,1
14,10,1
15,11,1
16,15,1
17,20,1
18,20,1
19,21,1
20,21,1
21,21,1
22,21,1
23,21,1
24,22,1
25,22,2
26,24,2
27,26,2
28,27,2
29,28,2
30,29,2
31,31,2
32,35,2
33,36,2
34,36,2
35,36,2
36,36,2
37,36,3
38,38,3
39,40,3
40,40,3
41,40,3
42,42,3
43,42,3
44,42,3
45,42,3
46,43,3
47,44,3
48,45,3
49,45,3
50,46,3
51,50,3
52,51,3
53,53,3
54,53,3
55,53,3
56,54,3
57,57,3
58,58,3
59,58,3
60,59,3
61,60,3
62,60,3
63,60,3
64,60,3
65,61,3
66,67,3
67,68,3
68,69,3
69,69,3
70,70,3
71,71,3
72,72,3
73,73,3
74,74,3
75,75,3
76,75,3
77,79,3
78,80,3
79,84,3
80,85,3
81,86,3
82,90,3
83,94,3
84,95,3
85,96,3
86,96,4
87,96,4
88,97,4
89,98,4
90,99,4
91,101,4
92,102,4
93,104,4
94,105,4
95,106,4
96,110,4
97,111,4
98,111,4
99,111,4
100,112,4
101,112,4
102,112,4
103,114,4
104,120,4
105,121,4
106,122,4
107,123,4
108,126,4
109,126,5
110,126,5
111,127,5
112,128,5
113,128,5
114,132,5
115,132,6
116,133,6
117,135,6
118,136,6
119,136,7
120,138,7
