ballCount,runs,wickets
0,0,0
1,4,0
2,4,0
3,5,0
4,9,0
5,10,0
6,11,0
7,12,0
8,16,0
9,17,0
10,19,0
11,19,1
12,19,1
13,23,1
14,27,1
15,27,1
16,33,1
17,34,1
18,34,2
19,34,3
20,34,3
21,38,3
22,39,3
23,39,3
24,43,3
25,43,3
26,43,3
27,47,3
28,48,3
29,48,3
30,48,3
31,48,3
32,50,3
33,51,3
34,57,3
35,58,3
36,58,3
37,59,3
38,60,3
39,61,3
40,62,3
41,66,3
42,67,3
43,71,3
44,72,3
45,73,3
46,77,3
47,77,3
48,78,3
49,79,3
50,83,3
51,83,3
52,83,3
53,87,3
54,88,3
55,88,3
56,88,3
57,89,3
58,89,3
59,95,3
60,97,3
61,97,3
62,101,3
63,101,4
64,102,4
65,103,4
66,104,4
67,105,4
68,107,4
69,113,4
70,115,4
71,116,4
72,117,4
73,121,4
74,122,4
75,126,4
76,132,4
77,133,4
78,134,4
79,137,4
80,137,4
81,138,4
82,138,4
83,144,4
84,144,4
85,144,4
86,145,4
87,146,4
88,146,4
89,147,4
90,147,4
91,147,4
92,148,4
93,152,4
94,153,4
95,159,4
96,159,5
97,163,5
98,165,5
99,169,5
100,170,5
101,171,5
102,177,5
103,178,5
104,179,5
105,183,5
106,183,5
107,189,5
108,193,5
109,193,5
110,194,5
111,196,5
112,197,5
113,202,5
114,202,5
115,208,5
116,209,5
117,211,5
118,213,5
119,217,5
120,219,5
